revid_ctxt,date,rev_time,editor,link,rev_id,token_id,pos,in,out,action,duplicated,left,token,right,nationality,birth_place,Link,Bulk,ali comment,fabian_comment,cluster_4,cluster_10
346160867,2010-02-01,2/24/10 21:07,1483333,http://en.wikipedia.org/w/index.php?&diff=346160867,346160867,14552,171,2,6,rein,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,british, ]] < ref > {{ cite web | url = http : / /,Y,N,N,N,,,0,-1
346160867,2010-02-01,2/24/10 21:10,394460,http://en.wikipedia.org/w/index.php?&diff=346161459,346161459,14552,171,6,2,out,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,british, ]] < ref > {{ cite web | url = http : / /,Y,N,N,N,,,0,-1
336159279,2010-01-01,2010-01-06 07:13:36,394460,http://en.wikipedia.org/w/index.php?&diff=336159279,336159279,14378,171,81,8,in,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scotland, | scottish ]] < ref > {{ cite web | url = http :,Y,N,Left,N,,,-1,70
344687249,2010-02-01,2010-02-23 16:37:58,0|86.138.121.192,http://en.wikipedia.org/w/index.php?&diff=345899698,345899698,14378,171,2,4,out,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scotland, | scottish ]] < ref > {{ cite web | url = http :,Y,N,Left,N,,,0,-1
346162001,2010-02-01,2010-02-24 21:13:19,394460,http://en.wikipedia.org/w/index.php?&diff=346162001,346162001,14378,171,3,5,rein,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scotland, | scottish ]] < ref > {{ cite web | url = http :,Y,N,Left,N,,,0,-1
353621079,2010-04-01,2010-04-07 22:13:11,0|92.27.156.98,http://en.wikipedia.org/w/index.php?&diff=354620808,354620808,14378,171,6,3,out,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scotland, | scottish ]] < ref > {{ cite web | url = http :,Y,N,Left,N,,,21,-1
346113902,2010-02-01,2010-02-24 16:42:46,0|92.8.122.127,http://en.wikipedia.org/w/index.php?&diff=346113902,346113902,14556,171,2,2,ins,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scottish, people | scottish ]] < ref > {{ cite web | url = http,Y,N,Left,N,,,-1,-1
346159709,2010-02-01,2/24/10 21:07,1483333,http://en.wikipedia.org/w/index.php?&diff=346160867,346160867,14556,171,2,6,out,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scottish, people | scottish ]] < ref > {{ cite web | url = http,Y,N,Left,N,,,0,-1
346161459,2010-02-01,2/24/10 21:10,394460,http://en.wikipedia.org/w/index.php?&diff=346161459,346161459,14556,171,6,2,rein,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scottish, people | scottish ]] < ref > {{ cite web | url = http,Y,N,Left,N,,,0,-1
346161459,2010-02-01,2/24/10 21:13,394460,http://en.wikipedia.org/w/index.php?&diff=346162001,346162001,14556,171,3,5,out,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scottish, people | scottish ]] < ref > {{ cite web | url = http,Y,N,Left,N,,,0,-1
701804346,2016-01-01,1/26/16 17:54,13286072,http://en.wikipedia.org/w/index.php?&diff=701804346,701804346,14662,497,2,2,rein,FALSE, ref > 14 august 1888 {{ spaced ndash }} 14 june 1946 ) was a,scottish," engineer , innovator , one of the inventors of the [[ mechanical television ]]",N,N,N,N,Cleaning,,-1,158
355471746,2010-04-01,2010-04-12 04:01:21,0|24.150.35.238,http://en.wikipedia.org/w/index.php?&diff=355471746,355471746,14662,173,3,4,ins,TRUE, ' ' ' ( 14 august 1888 – 14 june 1946 ) was a [[,scottish, | scottish ]] < ref > {{ cite web | url = http :,Y,N,Left,N,,,-1,-1
327290011,2009-11-01,2009-11-22 14:21:23,7082942,http://en.wikipedia.org/w/index.php?&diff=327290011,327290011,14301,181,17,12,in,TRUE, ' ' ( 13 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,21,70
329614569,2009-12-01,2009-12-04 05:31:10,279219,http://en.wikipedia.org/w/index.php?&diff=329614569,329614569,14358,172,3,0,in,FALSE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,-1,70
329614569,2009-12-01,2009-12-05 10:16:30,7082942,http://en.wikipedia.org/w/index.php?&diff=329848095,329848095,14358,172,0,3,out,FALSE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,-1,70
330000333,2009-12-01,2009-12-06 04:02:36,279219,http://en.wikipedia.org/w/index.php?&diff=330000333,330000333,14358,172,3,0,rein,FALSE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,-1,70
684013027,2015-10-01,10/4/15 00:52,5885953,http://en.wikipedia.org/w/index.php?&diff=684013027,684013027,20273,892,32,0,in,FALSE, 6 january 2010 }} < / ref > in 2015 he was inducted into the,scottish, engineering hall of fame . < ref > http : / / engineeringhalloffame .,N,N,N,Y,,,95,-1
332763774,2009-12-01,2009-12-31 18:33:02,0|94.173.8.101,http://en.wikipedia.org/w/index.php?&diff=335144293,335144293,14358,172,1,6,out,TRUE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,83,70
335145083,2009-12-01,2009-12-31 18:37:26,1483333,http://en.wikipedia.org/w/index.php?&diff=335145083,335145083,14358,172,6,1,rein,TRUE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,83,70
336104170,2010-01-01,2010-01-06 07:13:36,394460,http://en.wikipedia.org/w/index.php?&diff=336159279,336159279,14358,172,81,8,out,TRUE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] [[ engineer ]] and [[ inventor ]] of the world ',Y,N,Left,N,,,-1,70
354620808,2010-04-01,2010-04-07 22:13:11,0|92.27.156.98,http://en.wikipedia.org/w/index.php?&diff=354620808,354620808,14658,174,6,3,in,TRUE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | britain ]] < ref > {{ cite web | url = http :,Y,N,Left,Y,,,21,-1
354912514,2010-04-01,2010-04-12 04:01:21,0|24.150.35.238,http://en.wikipedia.org/w/index.php?&diff=355471746,355471746,14658,174,3,4,out,TRUE, ' ' ( 14 august 1888 – 14 june 1946 ) was a [[ united,kingdom, | british ]] < ref > {{ cite web | url = http :,Y,N,Left,N,,,-1,-1
701704393,2016-01-01,1/26/16 2:13,16318526,http://en.wikipedia.org/w/index.php?&diff=701704393,701704393,20786,912,21,4,in,FALSE," / engineeringhalloffame . org / "" 2015 inductee : john logie baird "" ] .",scottish, engineering hall of fame . retrieved 4 october 2015 < / ref > =,N,N,N,N,Question,"NO, just references a title",8,-1
271601519,2009-02-01,2009-02-18 17:00:46,4150759,http://en.wikipedia.org/w/index.php?&diff=271601519,271601519,12290,149,1,1,ins,FALSE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",british, engineer and inventor of the world ' s first working television system . although,Y,N,N,N,,,57,70
271601519,2009-02-01,2/18/09 17:18,3305034,http://en.wikipedia.org/w/index.php?&diff=271605581,271605581,12290,149,1,1,out,FALSE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",british, engineer and inventor of the world ' s first working television system . although,Y,N,N,N,,,57,70
288839540,2009-05-01,2009-05-09 09:28:31,0|85.185.65.130,http://en.wikipedia.org/w/index.php?&diff=288839540,288839540,12477,150,5,4,ins,TRUE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",british," engineer and inventor of the world ' s first working television system , also",Y,N,N,N,Question,YES,57,70
288839540,2009-05-01,5/9/09 09:41,101220,http://en.wikipedia.org/w/index.php?&diff=288840940,288840940,12477,150,4,5,out,TRUE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",british," engineer and inventor of the world ' s first working television system , also",Y,N,N,N,,,57,70
270065740,2009-02-01,2/18/09 17:00,4150759,http://en.wikipedia.org/w/index.php?&diff=271601519,271601519,11178,149,1,1,out,FALSE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",scottish, engineer and inventor of the world ' s first working television system . although,Y,N,N,N,,,57,70
684013120,2015-10-01,2015-10-04 00:53:40,5885953,http://en.wikipedia.org/w/index.php?&diff=684013120,684013120,20298,6510,9,0,ins,FALSE, [[ category : scottish businesspeople ]] [[ category : scottish engineers ]] [[ category :,scottish, engineering hall of fame ]] [[ category : scottish inventors ]] [[ category :,N,N,N,N,,,-1,-1
26479217,2005-10-01,2005-10-25 22:40:57,394460,http://en.wikipedia.org/w/index.php?&diff=26479217,26479217,2186,1175,80,7,ins,TRUE," : natives of argyll and bute | baird , john logie ]] [[ category :",scottish," engineers | baird , john logie ]] [[ category : scottish inventors | baird",Y ,N,N,N,,,-1,6
271605581,2009-02-01,2/18/09 17:18,3305034,http://en.wikipedia.org/w/index.php?&diff=271605581,271605581,11178,149,1,1,rein,FALSE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",scottish, engineer and inventor of the world ' s first working television system . although,Y,N,N,N,,,57,70
288060714,2009-05-01,5/9/09 09:28,0|85.185.65.130,http://en.wikipedia.org/w/index.php?&diff=288839540,288839540,11178,149,5,4,out,TRUE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",scottish," engineer and inventor of the world ' s first working television system , also",Y,N,N,N,,,57,70
288840940,2009-05-01,5/9/09 09:41,101220,http://en.wikipedia.org/w/index.php?&diff=288840940,288840940,11178,149,4,5,rein,TRUE," ' ' ( august 13 , 1888 – june 14 , 1946 ) was a",scottish," engineer and inventor of the world ' s first working television system , also",Y,N,N,N,,,57,70
319812921,2009-10-01,10/14/09 14:20,0|92.41.164.183,http://en.wikipedia.org/w/index.php?&diff=319813431,319813431,11178,173,1,312,out,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] engineer and inventor of the world ' s first working [[ television ]],Y,N,Right,Y,,,-1,-1
319814729,2009-10-01,10/14/09 14:28,1483333,http://en.wikipedia.org/w/index.php?&diff=319814729,319814729,11178,169,306,51,rein,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] engineer and inventor of the world ' s first working [[ television ]],Y,N,Right,Y,,,-1,-1
326732314,2009-11-01,11/22/09 14:21,7082942,http://en.wikipedia.org/w/index.php?&diff=327290011,327290011,11178,180,17,12,out,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,-1,-1
328176707,2009-11-01,11/27/09 8:20,394460,http://en.wikipedia.org/w/index.php?&diff=328176707,328176707,11178,173,29,46,rein,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,maybe unclear,83,70
328176707,2009-11-01,11/28/09 15:12,7082942,http://en.wikipedia.org/w/index.php?&diff=328390306,328390306,11178,173,46,29,out,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,83,70
328390386,2009-11-01,11/28/09 15:13,7082942,http://en.wikipedia.org/w/index.php?&diff=328390386,328390386,11178,173,29,46,rein,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,"Keep as unclear, exclude from testing",83,70
329352247,2009-12-01,12/3/09 16:06,0|95.175.149.89,http://en.wikipedia.org/w/index.php?&diff=329474637,329474637,11178,173,2,4,out,TRUE, ' ( 13 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,83,-1
244076933,2008-10-01,10/10/08 02:40,0|70.18.39.197,http://en.wikipedia.org/w/index.php?&diff=244284439,244284439,10730,150,5,6,out,TRUE, ' ( 13 august 1888 & ndash ; 14 june 1946 ) was a [[,scottish, people | scottish ]] [[ engineer ]] and inventor of the world ' s,Y,N,Left,N,,,52,-1
244284865,2008-10-01,10/10/08 02:43,35201,http://en.wikipedia.org/w/index.php?&diff=244284865,244284865,10730,150,15,10,rein,TRUE, ' ( 13 august 1888 & ndash ; 14 june 1946 ) was a [[,scottish, people | scottish ]] [[ engineer ]] and inventor of the world ' s,Y,N,Left,N,,,-1,-1
244284865,2008-10-01,10/10/08 02:45,0|70.18.39.197,http://en.wikipedia.org/w/index.php?&diff=244285176,244285176,10730,150,9,15,out,TRUE, ' ( 13 august 1888 & ndash ; 14 june 1946 ) was a [[,scottish, people | scottish ]] [[ engineer ]] and inventor of the world ' s,Y,N,Left,N,,,-1,-1
336159279,2010-01-01,2010-01-06 07:13:36,394460,http://en.wikipedia.org/w/index.php?&diff=336159279,336159279,14379,173,81,8,ins,TRUE, ' ( 14 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
344687249,2010-02-01,2/23/10 16:37,0|86.138.121.192,http://en.wikipedia.org/w/index.php?&diff=345899698,345899698,14379,173,2,4,out,TRUE, ' ( 14 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,0,-1
353621079,2010-04-01,4/7/10 22:13,0|92.27.156.98,http://en.wikipedia.org/w/index.php?&diff=354620808,354620808,14379,173,6,3,out,TRUE, ' ( 14 august 1888 – 14 june 1946 ) was a [[ scotland |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
355471746,2010-04-01,2010-04-12 04:01:21,0|24.150.35.238,http://en.wikipedia.org/w/index.php?&diff=355471746,355471746,14663,175,3,4,ins,TRUE, ' ( 14 august 1888 – 14 june 1946 ) was a [[ scottish |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
289647843,2009-05-01,2009-05-13 10:50:53,159678,http://en.wikipedia.org/w/index.php?&diff=289647843,289647843,12484,150,3,0,ins,FALSE," ' ( august 13 , 1888 – june 14 , 1946 ) was a [[",scottish, people | scottish ]] engineer and inventor of the world ' s first working,Y,N,Left,N,,,70,70
804543305,2017-10-01,10/9/17 18:05,31911579,http://en.wikipedia.org/w/index.php?&diff=804543305,804543305,22713,3590,75,0,in,TRUE, télévision - baird - natan . < ref > {{ cite news | title =,scottish, fact of the day : first tv signal broadcast | url = http :,N,N,N,Y,Question,"NO, just references a title",-1,-1
290140242,2009-05-01,2009-05-15 18:27:52,0|38.116.200.45,http://en.wikipedia.org/w/index.php?&diff=290140242,290140242,12505,253,12,3,ins,FALSE," = = baird was born in [[ helensburgh ]] , he was born to an",scottish," father and his mother was indian , [[ scotland ]] . he was educated",Y,N,N,N,,,13,14
290140438,2009-05-01,5/15/09 18:29,7746361,http://en.wikipedia.org/w/index.php?&diff=290140621,290140621,12505,253,7,12,out,FALSE," = = baird was born in [[ helensburgh ]] , he was born to an",scottish, father and his mother was indian . he was educated at larchfield academy (,Y,N,N,N,,,-1,77
701785887,2016-01-01,1/26/16 15:39,11555324,http://en.wikipedia.org/w/index.php?&diff=701785887,701785887,21209,5268,30,48,in,FALSE, / 4ce2b802e3d5c | title = a voice in vision ( 1957 ) | publisher =,british, film institute | accessdate = 14 september 2015 }} < / ref > and,N,N,N,N,,,-1,-1
14114158,2005-05-01,2005-05-23 05:22:20,95903,http://en.wikipedia.org/w/index.php?&diff=14114158,14114158,1945,664,101,7,ins,TRUE," a device remarkably similar to radar , and that he was in correspondance with the",british, govermnet at the time . much of the information regarding baird ' s work,N,N,N,Y,,,-1,-1
14114158,2005-05-01,2005-05-23 05:22:20,95903,http://en.wikipedia.org/w/index.php?&diff=14114158,14114158,1898,616,101,7,ins,TRUE," radar ]] , for his wartime defense projects have never been officially acknowledged by the",british," government . according to malcolm baird , his son , what is known is",N,N,N,Y,,,-1,-1
114565733,2007-03-01,3/12/07 16:03,0|151.188.16.36,http://en.wikipedia.org/w/index.php?&diff=114565777,114565777,1898,376,0,301,out,TRUE," of radar , for his wartime defence projects have never been officially acknowledged by the",british," government . according to malcolm baird , his son , what is known is",N,N,N,Y,,,-1,-1
327290011,2009-11-01,2009-11-22 14:21:23,7082942,http://en.wikipedia.org/w/index.php?&diff=327290011,327290011,14302,183,17,12,ins,TRUE, ( 13 august 1888 – 14 june 1946 ) was a [[ united kingdom |,british, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,-1,-1
346059084,2010-02-01,2010-02-24 09:15:58,159678,http://en.wikipedia.org/w/index.php?&diff=346059084,346059084,14555,174,3,0,ins,FALSE, ( 14 august 1888 – 14 june 1946 ) was a [[ british people |,british, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
346059084,2010-02-01,2/24/10 16:42,0|92.8.122.127,http://en.wikipedia.org/w/index.php?&diff=346113902,346113902,14555,174,2,2,out,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ british people |,british, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
346113902,2010-02-01,2010-02-24 16:42:46,0|92.8.122.127,http://en.wikipedia.org/w/index.php?&diff=346113902,346113902,14557,174,2,2,ins,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ scottish people |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
346159709,2010-02-01,2/24/10 21:07,1483333,http://en.wikipedia.org/w/index.php?&diff=346160867,346160867,14557,174,2,6,out,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ scottish people |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,0,-1
346161459,2010-02-01,2/24/10 21:10,394460,http://en.wikipedia.org/w/index.php?&diff=346161459,346161459,14557,174,6,2,rein,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ scottish people |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,0,-1
346161459,2010-02-01,2/24/10 21:13,394460,http://en.wikipedia.org/w/index.php?&diff=346162001,346162001,14557,174,3,5,out,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ scottish people |,scottish, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,0,-1
354620808,2010-04-01,2010-04-07 22:13:11,0|92.27.156.98,http://en.wikipedia.org/w/index.php?&diff=354620808,354620808,14659,176,6,3,in,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,britain, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,Y,,,-1,-1
114565915,2007-03-01,3/12/07 16:04,292494,http://en.wikipedia.org/w/index.php?&diff=114565915,114565915,1898,1742,1667,0,rein,TRUE," of radar , for his wartime defence projects have never been officially acknowledged by the",british," government . according to malcolm baird , his son , what is known is",N,N,N,Y,,,-1,-1
118293838,2007-03-01,3/30/07 2:18,0|24.60.63.140,http://en.wikipedia.org/w/index.php?&diff=118942306,118942306,1898,1730,0,293,out,TRUE," of radar , for his wartime defence projects have never been officially acknowledged by the",british," government . according to malcolm baird , his son , what is known is",N,N,N,Y,,,-1,-1
354620808,2010-04-01,2010-04-07 22:13:32,0|92.27.156.98,http://en.wikipedia.org/w/index.php?&diff=354620888,354620888,14659,176,1,1,out,FALSE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,britain, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
332763774,2009-12-01,12/31/09 18:33,0|94.173.8.101,http://en.wikipedia.org/w/index.php?&diff=335144293,335144293,14354,174,1,6,out,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,british, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,83,70
335145083,2009-12-01,12/31/09 18:37,1483333,http://en.wikipedia.org/w/index.php?&diff=335145083,335145083,14354,174,6,1,rein,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,british, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,83,70
336104170,2010-01-01,1/6/10 07:13,394460,http://en.wikipedia.org/w/index.php?&diff=336159279,336159279,14354,174,81,8,out,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,british, ]] [[ engineer ]] and [[ inventor ]] of the world ' s first,Y,N,Right,N,,,-1,-1
354620888,2010-04-01,2010-04-07 22:13:32,0|92.27.156.98,http://en.wikipedia.org/w/index.php?&diff=354620888,354620888,14660,176,1,1,ins,FALSE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,british, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,Spelling,,-1,-1
354912514,2010-04-01,4/12/10 04:01,0|24.150.35.238,http://en.wikipedia.org/w/index.php?&diff=355471746,355471746,14660,176,3,4,out,TRUE, ( 14 august 1888 – 14 june 1946 ) was a [[ united kingdom |,british, ]] < ref > {{ cite web | url = http : / /,Y,N,Right,N,,,-1,-1
534725101,2013-01-01,2013-01-24 22:22:59,16257142,http://en.wikipedia.org/w/index.php?&diff=534725101,534725101,17768,5591,107,3,ins,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,Question,YES,118,141
771330735,2017-03-01,3/23/17 18:46,4794943,http://en.wikipedia.org/w/index.php?&diff=771823752,771823752,17768,6864,0,6,out,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,,,118,141
771998521,2017-03-01,3/24/17 18:37,4646567,http://en.wikipedia.org/w/index.php?&diff=771998521,771998521,17768,6964,6,0,rein,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,Question,YES,118,141
771998521,2017-03-01,3/24/17 19:12,4794943,http://en.wikipedia.org/w/index.php?&diff=772003481,772003481,17768,6964,0,6,out,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,,,118,141
772082734,2017-03-01,3/25/17 6:17,32272,http://en.wikipedia.org/w/index.php?&diff=772082734,772082734,17768,6959,6,0,rein,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,Question,YES,118,141
772082734,2017-03-01,3/31/17 16:11,4985989,http://en.wikipedia.org/w/index.php?&diff=773145198,773145198,17768,6959,0,6,out,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,,,118,141
773227507,2017-04-01,4/1/17 03:35,32272,http://en.wikipedia.org/w/index.php?&diff=773227507,773227507,17768,6959,6,0,rein,FALSE, [[ category : honorary fellows of the royal society of edinburgh ]] [[ category :,scottish, agnostics ]] [[ category : scottish businesspeople ]] [[ category : scottish engineers ]],Y,N,N,N,Question,YES,118,141
727522581,2016-07-01,7/9/16 12:46,25530780,http://en.wikipedia.org/w/index.php?&diff=729040681,729040681,20298,6824,0,9,out,FALSE, [[ category : scottish businesspeople ]] [[ category : scottish engineers ]] [[ category :,scottish, engineering hall of fame ]] [[ category : scottish inventors ]] [[ category :,Y,N,N,N,,,-1,-1
118146408,2007-03-01,3/27/07 16:46,1267095,http://en.wikipedia.org/w/index.php?&diff=118293838,118293838,4490,2680,0,6,out,FALSE, [[ category : scottish engineers ]] [[ category : scottish inventors ]] [[ category :,scottish, people ]] [[ category : television pioneers ]] [[ category : television technology ]],Y,N,N,N,,,-1,-1
724671163,2016-06-01,6/12/16 18:46,14965160,http://en.wikipedia.org/w/index.php?&diff=724966601,724966601,14461,6844,0,9,out,FALSE, [[ category : scottish inventors ]] [[ category : scottish physicists ]] [[ category :,scottish, science hall of fame ]] [[ category : history of television ]] [[ category,Y,N,N,N,,,-1,-1
213471427,2008-05-01,2008-05-19 14:24:16,2796168,http://en.wikipedia.org/w/index.php?&diff=213471427,213471427,10533,49,116,5,ins,TRUE, [[ helensburgh ]] | name = {{ pagename }} | nationality = [[ scotland |,scottish, ]] | birth _ date = [[ august 13 ]] [[ 1888 ]] |,Y,N,Right,Y,,,-1,8
118944032,2007-03-01,3/30/07 2:27,35201,http://en.wikipedia.org/w/index.php?&diff=118944032,118944032,1898,1730,296,7,rein,TRUE," of radar , for his wartime defence projects have never been officially acknowledged by the",british," government . according to malcolm baird , his son , what is known is",N,N,N,Y,,,-1,-1
119276449,2007-04-01,4/1/07 11:25,0|220.239.172.38,http://en.wikipedia.org/w/index.php?&diff=119467063,119467063,1898,1736,13,301,out,TRUE," of radar , for his wartime defence projects have never been officially acknowledged by the",british," government . according to malcolm baird , his son , what is known is",N,N,N,Y,,,28,40
517643279,2012-10-01,2012-10-13 22:47:18,0|109.77.100.80,http://en.wikipedia.org/w/index.php?&diff=517643279,517643279,17468,173,17,2,in,TRUE, [[ helensburgh cemetery ]] | monuments = | residence = [[ scotland ]] [[ united,kingdom, ]] | nationality = [[ scottish ]] [[ british ]] | other _ names,Y,N,N,N,,,96,126
530278092,2012-12-01,2012-12-31 07:54:58,394460,http://en.wikipedia.org/w/index.php?&diff=530578785,530578785,17468,174,10,23,out,TRUE, [[ helensburgh cemetery ]] | monuments = | residence = [[ scotland ]] [[ united,kingdom, ]] | nationality = scottish | other _ names = johnny | citizenship =,Y,N,N,N,,,-1,126
517643279,2012-10-01,2012-10-13 22:47:18,0|109.77.100.80,http://en.wikipedia.org/w/index.php?&diff=517643279,517643279,13914,195,17,2,rein,TRUE, ]] [[ british ]] | other _ names = johnny | citizenship = [[ united,kingdom," | british ]] | education = [[ larchfield academy ]] , helensburgh | alma",Y,N,Left,N,,,-1,134
6284315,2004-10-01,2004-10-02 03:29:03,24315,http://en.wikipedia.org/w/index.php?&diff=6284315,6284315,879,648,1,0,ins,FALSE," ]] [[ category : 1946 deaths | baird , john logie ]] [[ category :",british," inventors | baird , john logie ]] [[ da : john logie baird ]]",Y,N,N,N,,,-1,-1
6284315,2004-10-01,10/2/04 03:34,24315,http://en.wikipedia.org/w/index.php?&diff=6454329,6454329,879,648,1,1,out,FALSE," ]] [[ category : 1946 deaths | baird , john logie ]] [[ category :",british," inventors | baird , john logie ]] [[ da : john logie baird ]]",Y,N,N,N,,,-1,-1
6454329,2004-10-01,2004-10-02 03:34:43,24315,http://en.wikipedia.org/w/index.php?&diff=6454329,6454329,880,648,1,1,ins,FALSE," ]] [[ category : 1946 deaths | baird , john logie ]] [[ category :",scottish," inventors | baird , john logie ]] [[ da : john logie baird ]]",Y,N,N,N,Cleaning,,-1,-1
405292570,2011-01-01,1/1/11 07:59,394460,http://en.wikipedia.org/w/index.php?&diff=405292570,405292570,16153,5248,6,0,in,FALSE, ]] [[ category : fellows of the royal society of edinburgh ]] [[ category :,scottish, businesspeople ]] [[ ar : جون لوجي بيرد ]] [[ bn : জন লগি,Y,N,N,N,Question,YES,-1,-1
